slot_name,observed,none_like,dontcare,total_seen,turn_level_alignment_%,dialogue_level_alignment_%
attraction-area,7742,0,0,7742,60.53,19.98
attraction-name,8405,0,0,8405,58.07,31.09
attraction-type,8353,0,0,8353,81.88,21.69
hotel-area,9507,0,0,9507,85.67,19.30
hotel-bookday,5007,0,0,5007,98.85,21.90
hotel-bookpeople,4950,0,0,4950,53.36,22.87
hotel-bookstay,4794,0,0,4794,56.72,21.37
hotel-internet,7122,0,0,7122,39.55,14.56
hotel-name,13416,0,0,13416,94.37,33.39
hotel-parking,7439,0,0,7439,41.99,15.79
hotel-pricerange,8448,0,0,8448,35.27,16.89
hotel-stars,8434,0,0,8434,92.50,17.13
hotel-type,10892,0,0,10892,91.47,22.18
restaurant-area,14311,0,0,14311,65.19,30.72
restaurant-bookday,4794,0,0,4794,96.88,22.04
restaurant-bookpeople,4800,0,0,4800,58.60,22.47
restaurant-booktime,4665,0,0,4665,72.82,22.79
restaurant-food,15673,0,0,15673,93.12,34.61
restaurant-name,13293,0,0,13293,91.11,35.27
restaurant-pricerange,13275,0,0,13275,29.03,28.72
taxi-arriveby,2319,0,0,2319,99.30,7.54
taxi-departure,4520,0,0,4520,88.55,15.72
taxi-destination,4897,0,0,4897,87.48,16.07
taxi-leaveat,2622,0,0,2622,90.64,8.91
train-arriveby,9275,0,0,9275,97.86,18.53
train-bookpeople,7736,0,0,7736,76.44,19.32
train-day,20018,0,0,20018,99.89,36.38
train-departure,20090,0,0,20090,93.62,36.30
train-destination,20187,0,0,20187,95.19,36.57
train-leaveat,9309,0,0,9309,93.72,18.98
train-trainid,2501,24,0,2525,99.26,12.53
